id,lexeme,de,ru,source,license
ab:t11572465,ab,Wie stelle ich das ab?,Как мне это выключить?,tatoeba,CC BY 2.0 FR
ab:t13506211,ab,Sie nimmt noch immer nicht ab.,Она так и не снимает трубку.,tatoeba,CC BY 2.0 FR
ab:t13453296,ab,Das Leben ist ein Auf und Ab.,Жизнь - это взлёты и падения.,tatoeba,CC BY 2.0 FR
ab-adj:t11572465,ab-adj,Wie stelle ich das ab?,Как мне это выключить?,tatoeba,CC BY 2.0 FR
ab-adj:t13506211,ab-adj,Sie nimmt noch immer nicht ab.,Она так и не снимает трубку.,tatoeba,CC BY 2.0 FR
ab-adj:t13453296,ab-adj,Das Leben ist ein Auf und Ab.,Жизнь - это взлёты и падения.,tatoeba,CC BY 2.0 FR
ab-adv:t11572465,ab-adv,Wie stelle ich das ab?,Как мне это выключить?,tatoeba,CC BY 2.0 FR
ab-adv:t13506211,ab-adv,Sie nimmt noch immer nicht ab.,Она так и не снимает трубку.,tatoeba,CC BY 2.0 FR
ab-adv:t13453296,ab-adv,Das Leben ist ein Auf und Ab.,Жизнь - это взлёты и падения.,tatoeba,CC BY 2.0 FR
aber:t3540502,aber,„Das kann nicht sein!“ – „Aber so ist es!“,«Быть не может!» — «Но это так!»,tatoeba,CC BY 2.0 FR
aber:t7432347,aber,„Das kann nicht sein!“ – „Es ist aber so!“,«Этого не может быть!» — «Но это так!»,tatoeba,CC BY 2.0 FR
aber:t2937081,aber,Aber ich will nicht!,Но я не хочу.,tatoeba,CC BY 2.0 FR
aber-adv:t3540502,aber-adv,„Das kann nicht sein!“ – „Aber so ist es!“,«Быть не может!» — «Но это так!»,tatoeba,CC BY 2.0 FR
aber-adv:t7432347,aber-adv,„Das kann nicht sein!“ – „Es ist aber so!“,«Этого не может быть!» — «Но это так!»,tatoeba,CC BY 2.0 FR
aber-adv:t2937081,aber-adv,Aber ich will nicht!,Но я не хочу.,tatoeba,CC BY 2.0 FR
abfahren:t10086496,abfahren,Sie kann morgen abfahren.,Она может завтра уехать.,tatoeba,CC BY 2.0 FR
abfahren:t1070879,abfahren,Der Zug ist abgefahren.,Поезд ушёл.,tatoeba,CC BY 2.0 FR
abfahren:t8841332,abfahren,Er kann morgen abfahren.,Он может уехать завтра.,tatoeba,CC BY 2.0 FR
abfahrt:t3058729,abfahrt,Wechsle das Geld vor der Abfahrt!,Обменяй деньги ещё до поездки.,tatoeba,CC BY 2.0 FR
abfahrt:t3061015,abfahrt,Ich bin drei Minuten vor Abfahrt des Zuges am Bahnhof angekommen.,Я попал на вокзал за три минуты до отхода поезда.,tatoeba,CC BY 2.0 FR
abfliegen:t1826003,abfliegen,"Ich sehe gerne zu, wie Flugzeuge abfliegen.",Мне нравится смотреть на взлетающие самолёты.,tatoeba,CC BY 2.0 FR
abfliegen:t2858658,abfliegen,"Als ich am Flughafen ankam, war die Maschine bereits abgeflogen.","Когда я добрался до аэропорта, самолёт уже улетел.",tatoeba,CC BY 2.0 FR
abfliegen:t5277715,abfliegen,Das Flugzeug ist um zehn Uhr morgens in Narita abgeflogen.,Самолёт вылетел из Нариты в десять утра.,tatoeba,CC BY 2.0 FR
abflug:t6592343,abflug,Wir kamen zwei Stunden vor Abflug am Flughafen an.,Мы приехали в аэропорт за два часа до вылета.,tatoeba,CC BY 2.0 FR
abgeben:t11148638,abgeben,Sie können eine Bewertung abgeben.,Вы можете оставить отзыв.,tatoeba,CC BY 2.0 FR
