id,lexeme,noun,article,translation,plural,example,example_ru
de:haus:_:genus,haus,Haus,das,дом,Häuser,Das Haus ist weiß.,Дом белый.
de:tisch:_:genus,tisch,Tisch,der,стол,Tische,Das ist mein Tisch.,Это мой стол.
de:lampe:_:genus,lampe,Lampe,die,лампа,,,
de:buch:_:genus,buch,Buch,das,книга,Bücher,Das Buch ist neu.,Книга новая.
de:stuhl:_:genus,stuhl,Stuhl,der,стул,,,
de:tuer:_:genus,tuer,Tür,die,дверь,,,
de:fenster:_:genus,fenster,Fenster,das,окно,,,
de:schluessel:_:genus,schluessel,Schlüssel,der,ключ от замка,Schlüssel,Ich habe einen Schlüssel.,У меня есть ключ.
de:strasse:_:genus,strasse,Straße,die,улица,Straßen,Die Straße ist laut.,Улица шумная.
de:auto:_:genus,auto,Auto,das,автомобиль,Autos,Es ist das Auto.,Это та машина.
de:baum:_:genus,baum,Baum,der,дерево,Bäume,Das ist ein Baum.,Это дерево.
de:blume:_:genus,blume,Blume,die,цветок,Blumen,Die Blume ist weiß.,Цветок белый.
de:wasser:_:genus,wasser,Wasser,das,вода,Wasser,Wo ist mein Wasser?,Где моя вода?
de:loeffel:_:genus,loeffel,Löffel,der,ложка,,,
de:gabel:_:genus,gabel,Gabel,die,вилка,,,
de:messer:_:genus,messer,Messer,das,нож,,,
de:hund:_:genus,hund,Hund,der,собака,Hunde,Ich bin kein Hund.,Я не собака.
de:katze:_:genus,katze,Katze,die,кошка,,,
de:maedchen:_:genus,maedchen,Mädchen,das,девочка,Mädchen,Wer ist das Mädchen?,Кто эта девочка?
de:junge:_:genus,junge,Junge,der,мальчик,Jungen,Das ist der Junge.,Это мальчик.
de:abfahrt:_:genus,abfahrt,Abfahrt,die,отъезд,Abfahrten,Ich bin drei Minuten vor Abfahrt des Zuges am Bahnhof angekommen.,Я попал на вокзал за три минуты до отхода поезда.
de:abflug:_:genus,abflug,Abflug,der,вылет,Abflüge,Wir kamen zwei Stunden vor Abflug am Flughafen an.,Мы приехали в аэропорт за два часа до вылета.
de:absender:_:genus,absender,Absender,der,отправитель,Absender,,
de:achtung:_:genus,achtung,Achtung,die,внимание,,Achtung vor dem Hund!,Берегись собаки!
de:adresse:_:genus,adresse,Adresse,die,адрес,Adressen,Hier ist die Adresse.,Вот адрес.
de:anfang:_:genus,anfang,Anfang,der,начало,Anfänge,Das ist nur der Anfang.,Это лишь начало.
de:angebot:_:genus,angebot,Angebot,das,предложение,Angebote,Ich nehme das Angebot an.,Я принимаю предложение.
de:ankunft:_:genus,ankunft,Ankunft,die,прибытие,Ankünfte,Ich bleibe bis zu ihrer Ankunft.,Я останусь до её приезда.
de:anmeldung:_:genus,anmeldung,Anmeldung,die,регистрация,Anmeldungen,,
de:anruf:_:genus,anruf,Anruf,der,звонок,Anrufe,,
de:antwort:_:genus,antwort,Antwort,die,ответ,Antworten,Die Antwort war leicht.,Ответ был лёгкий.
de:anzeige:_:genus,anzeige,Anzeige,die,объявление,Anzeigen,Hast du die Anzeige gelesen?,Ты прочёл объявление?
de:apfel:_:genus,apfel,Apfel,der,яблоко,Äpfel,Ist das ein Apfel?,Это яблоко?
de:arbeit:_:genus,arbeit,Arbeit,die,работа,Arbeiten,Die Arbeit geht vor.,Работа прежде всего.
de:arbeitsplatz:_:genus,arbeitsplatz,Arbeitsplatz,der,рабочее место,Arbeitsplätze,Warum waren Sie nicht am Arbeitsplatz?,Почему Вас не было на рабочем месте?
de:arm:_:genus,arm,Arm,der,рука,Arme,Mein Arm ist eingeschlafen.,У меня рука затекла.
de:arzt:_:genus,arzt,Arzt,der,врач,Ärzte,Ich bin kein Arzt.,Я не доктор.
de:aufgabe:_:genus,aufgabe,Aufgabe,die,задача,Aufgaben,Die Aufgabe war leicht.,Задание было лёгким.
de:aufzug:_:genus,aufzug,Aufzug,der,лифт,Aufzüge,Wo ist der Aufzug?,Где лифт?
de:auge:_:genus,auge,Auge,das,глаз,Augen,,
de:ausflug:_:genus,ausflug,Ausflug,der,экскурсия,Ausflüge,Der Ausflug hat uns sehr gut gefallen.,Экскурсия нам очень понравилась.
de:ausgang:_:genus,ausgang,Ausgang,der,выход,Ausgänge,Hier ist der Ausgang!,Выход здесь!
de:auslaender:_:genus,auslaender,Ausländer,der,иностранец,Ausländer,Ich bin ein Ausländer.,Я иностранец.
de:ausland:_:genus,ausland,Ausland,das,заграница,,Er war im Ausland.,Он был за границей.
de:ausweis:_:genus,ausweis,Ausweis,der,удостоверение,Ausweise,Er sucht seinen Ausweis.,Он ищет своё удостоверение.
de:autobahn:_:genus,autobahn,Autobahn,die,автомагистраль,Autobahnen,Die Autobahn war aufgrund eines schweren Unfalls gesperrt.,Автострада была перекрыта из-за серьезной аварии.
de:automat:_:genus,automat,Automat,der,автомат,Automaten,"Das ist der Automat, von dem ich sprach.","Это тот автомат, о котором я говорил."
de:baby:_:genus,baby,Baby,das,младенец,Babys,Das Baby mag Milch.,Малыш любит молоко.
de:bad:_:genus,bad,Bad,das,ванная,Bäder,Ich nahm ein Bad.,Я принял ванну.
de:baeckerei:_:genus,baeckerei,Bäckerei,die,пекарня,Bäckereien,Wo ist die Bäckerei?,Где находится булочная?
de:bahn:_:genus,bahn,Bahn,die,поезд,Bahnen,Die Bahn wird bald ankommen.,Поезд скоро приедет.
de:bahnhof:_:genus,bahnhof,Bahnhof,der,вокзал,Bahnhöfe,Wo ist der Bahnhof?,Где вокзал?
de:bahnsteig:_:genus,bahnsteig,Bahnsteig,der,платформа,Bahnsteige,Er ging auf dem Bahnsteig auf und ab.,Он взад-вперёд ходил по перрону.
de:balkon:_:genus,balkon,Balkon,der,балкон,Balkone,Der Balkon ist klein.,Балкон маленький.
de:banane:_:genus,banane,Banane,die,банан,Bananen,,
de:bank:_:genus,bank,Bank,die,банк,Bänke,War die Bank geschlossen?,Банк был закрыт?
de:bauch:_:genus,bauch,Bauch,der,живот,Bäuche,Ich lag auf dem Bauch.,Я лежал на животе.
de:beamte:_:genus,beamte,Beamte,die,чиновник,Beamte,,
de:bein:_:genus,bein,Bein,das,нога,Beine,,
de:beruf:_:genus,beruf,Beruf,der,профессия,Berufe,Er ist Arzt von Beruf.,По профессии он врач.
de:bett:_:genus,bett,Bett,das,кровать,Betten,Das ist ein Bett.,Это кровать.
de:bier:_:genus,bier,Bier,das,пиво,Biere,Er trank ein Bier.,Он выпил кружку пива.
de:bild:_:genus,bild,Bild,das,картина,Bilder,Sie hat ein Bild.,У нее есть фотография.
de:birne:_:genus,birne,Birne,die,груша,Birnen,Die Birne riecht gut.,Груша вкусно пахнет.
de:bitte-noun:_:genus,bitte-noun,Bitte,die,просьба,Bitten,Hören Sie bitte auf!,"Прекратите, пожалуйста!"
de:bleistift:_:genus,bleistift,Bleistift,der,карандаш,Bleistifte,Das ist mein Bleistift.,Это мой карандаш.
de:blick:_:genus,blick,Blick,der,вид,Blicke,Sein Blick ist leer.,Его взгляд пуст.
de:brief:_:genus,brief,Brief,der,письмо,Briefe,Danke für den Brief!,Спасибо за письмо.
de:briefmarke:_:genus,briefmarke,Briefmarke,die,почтовая марка,Briefmarken,Ich brauche eine Briefmarke.,Мне нужна почтовая марка.
de:broetchen:_:genus,broetchen,Brötchen,das,булка,Brötchen,Ich esse ein Brötchen.,Я ем булочку.
de:brot:_:genus,brot,Brot,das,хлеб,Brote,Was kostet das Brot?,Сколько стоит хлеб?
de:bruder:_:genus,bruder,Bruder,der,брат,Brüder,Ist das dein Bruder?,Это твой брат?
de:buchstabe:_:genus,buchstabe,Buchstabe,der,буква,Buchstaben,Ein Buchstabe ist zu viel.,Одна буква лишняя.
de:bus:_:genus,bus,Bus,der,автобус,Busse,Da kommt der Bus.,А вот и автобус.
de:butter:_:genus,butter,Butter,die,масло,,Wo ist die Butter?,Где масло?
de:chef:_:genus,chef,Chef,der,шеф,Chefs,Ist der Chef da?,Шеф на месте?
de:computer:_:genus,computer,Computer,der,компьютер,Computer,Mein Computer ist teuer.,Мой компьютер дорогой.
de:dame:_:genus,dame,Dame,die,дама,Damen,Die Dame ist über 80.,Этой даме за 80.
de:dank:_:genus,dank,Dank,der,благодарность,,,
de:datum:_:genus,datum,Datum,das,дата,Daten,Schreib das Datum auf!,Напиши дату.
de:doppelzimmer:_:genus,doppelzimmer,Doppelzimmer,das,двухместный номер,Doppelzimmer,Ich möchte ein Doppelzimmer.,Я хотел бы двухместный номер.
de:dorf:_:genus,dorf,Dorf,das,деревня,Dörfer,Es ist ein Dorf.,Это деревня.
de:drucker:_:genus,drucker,Drucker,der,принтер,Drucker,Der Drucker braucht Papier.,В принтер нужно вставить бумагу.
de:durst:_:genus,durst,Durst,der,жажда,,Er hat keinen Durst.,Ему не хочется пить.
de:dusche:_:genus,dusche,Dusche,die,душ,Duschen,Die Dusche ist kaputt.,Душ сломан.
de:ecke:_:genus,ecke,Ecke,die,угол,Ecken,Stell dich in die Ecke!,Встань в угол!
de:ehefrau:_:genus,ehefrau,Ehefrau,die,жена,Ehefrauen,Ich habe keine Ehefrau.,У меня нет жены.
de:ehemann:_:genus,ehemann,Ehemann,der,муж,Ehemänner,Wo ist mein Ehemann?,Где мой муж?
de:ei:_:genus,ei,Ei,das,яйцо,Eier,Ich habe ein Ei.,У меня есть яйцо.
de:eingang:_:genus,eingang,Eingang,der,вход,Eingänge,Wo ist der Eingang?,Где вход?
de:einladung:_:genus,einladung,Einladung,die,приглашение,Einladungen,Danke für die Einladung!,Спасибо за приглашение.
de:eintritt:_:genus,eintritt,Eintritt,der,вход,Eintritte,Was kostet der Eintritt?,Сколько за вход?
de:einzelzimmer:_:genus,einzelzimmer,Einzelzimmer,das,студия,Einzelzimmer,,
de:ende:_:genus,ende,Ende,das,конец,Enden,Das ist das Ende!,Это конец!
de:entschuldigung:_:genus,entschuldigung,Entschuldigung,die,извинение,Entschuldigungen,Entschuldigung. Wer sind Sie?,"Простите, кто Вы?"
de:erwachsene:_:genus,erwachsene,Erwachsene,die,взрослый,Erwachsene,Sie ist eine Erwachsene.,Она взрослая.
de:essen-noun:_:genus,essen-noun,Essen,das,еда,Essen,Wo bleibt das Essen?,Где еда?
de:fahrer:_:genus,fahrer,Fahrer,der,водитель,Fahrer,Ist das der Fahrer?,Это водитель?
de:fahrkarte:_:genus,fahrkarte,Fahrkarte,die,билет,Fahrkarten,Was kostet die Fahrkarte?,Сколько стоит билет?
de:fahrrad:_:genus,fahrrad,Fahrrad,das,велосипед,Fahrräder,Wo ist dein Fahrrad?,Где твой велосипед?
de:familie:_:genus,familie,Familie,die,семья,Familien,Sie haben eine Familie.,У них семья.
de:familienname:_:genus,familienname,Familienname,der,фамилия,Familiennamen,Wie ist dein Familienname?,Как твоя фамилия?
de:familienstand:_:genus,familienstand,Familienstand,der,семейное положение,Familienstände,"Wir brauchen Ihr Alter, Ihren Familienstand und Ihre Adresse.","Нам нужен Ваш возраст, семейное положение и адрес."
de:farbe:_:genus,farbe,Farbe,die,цвет,Farben,Die Farbe ist schön.,Красивый цвет.
de:fehler:_:genus,fehler,Fehler,der,ошибка,Fehler,Das war sein Fehler!,Это была его ошибка!
de:feier:_:genus,feier,Feier,die,праздник,Feiern,Ich will nicht auf die Feier.,Я не хочу идти на вечеринку.
de:feuer:_:genus,feuer,Feuer,das,костёр,Feuer,Das Feuer ging aus.,Огонь погас.
de:fieber:_:genus,fieber,Fieber,das,жар,Fieber,Ich habe kein Fieber.,У меня нет температуры.
de:film:_:genus,film,Film,der,кино,Filme,Sie sahen einen Film.,Они смотрели фильм.
de:firma:_:genus,firma,Firma,die,фирма,Firmen,Früher ging er zu Fuß in die Firma.,Раньше он ходил пешком до своего офиса.
de:fisch:_:genus,fisch,Fisch,der,рыба,Fische,Wo ist der Fisch?,Где рыба?
de:flasche:_:genus,flasche,Flasche,die,бутылка,Flaschen,Mach die Flasche auf.,Открой бутылку.
de:fleisch:_:genus,fleisch,Fleisch,das,мясо,,Ich aß das Fleisch.,Я съел мясо.
de:flughafen:_:genus,flughafen,Flughafen,der,аэропорт,Flughäfen,Wo ist der Flughafen?,Где аэропорт?
de:flugzeug:_:genus,flugzeug,Flugzeug,das,самолёт,Flugzeuge,Das Flugzeug wartet nicht.,Самолёт ждать не будет.
de:formular:_:genus,formular,Formular,das,формуляр,Formulare,Hat sie schon das Formular ausgefüllt?,Она уже заполнила бланк?
de:foto:_:genus,foto,Foto,das,фото,Fotos,Das ist sein Foto.,Это его фото.
de:frage:_:genus,frage,Frage,die,вопрос,Fragen,,
de:frau:_:genus,frau,Frau,die,женщина,Frauen,Das ist eine Frau.,Это женщина.
de:freizeit:_:genus,freizeit,Freizeit,die,свободное время,Freizeiten,Ich habe keine Freizeit.,У меня нет свободного времени.
de:freund:_:genus,freund,Freund,der,друг,Freunde,Ist er ein Freund?,Он друг?
de:fruehstueck:_:genus,fruehstueck,Frühstück,das,завтрак,Frühstücke,Wie war das Frühstück?,Как завтрак?
de:fuss:_:genus,fuss,Fuß,der,нога,Füße,Ich ging zu Fuß.,Я пошёл пешком.
de:fussball:_:genus,fussball,Fußball,der,футбол,Fußbälle,Ich mag Fußball nicht.,Я не люблю футбол.
